ATRIBUTOS:   2         
cross-validation

TAMANHO: 5125

A FREQUENCIA INDEPENDETE DA CLASSE
--------------------------------------
0	4813.0
1	748.0

A FREQUENCIA DA PALAVRA DADA UMA CLASSE
-----------------------------------------
          0	          1	
        8.0	<laplace=1>	showing
        4.0	<laplace=1>	dearer
<laplace=1>	        3.0	Sky
       40.0	<laplace=1>	lunch
        4.0	<laplace=1>	exhausted
<laplace=1>	       10.0	discount
        4.0	<laplace=1>	Birthday
        3.0	       23.0	attempt
        4.0	<laplace=1>	Already
       21.0	<laplace=1>	doesnt
        3.0	<laplace=1>	division
        3.0	<laplace=1>	FRNDS
<laplace=1>	        6.0	December
        5.0	        3.0	balance
<laplace=1>	        6.0	revealed
        3.0	<laplace=1>	lock
       62.0	       66.0	text
       16.0	<laplace=1>	Even
        5.0	<laplace=1>	usually
        5.0	<laplace=1>	letters
        4.0	<laplace=1>	dearly
        4.0	<laplace=1>	Ever
        3.0	        3.0	Somebody
       26.0	<laplace=1>	made
        4.0	<laplace=1>	Live
        8.0	<laplace=1>	sense
       17.0	<laplace=1>	chikku
       36.0	        7.0	being
       12.0	<laplace=1>	dnt
        3.0	<laplace=1>	curry
        3.0	        4.0	Tomorrow
        9.0	<laplace=1>	hoping
        3.0	<laplace=1>	printed
        3.0	<laplace=1>	chillin
        4.0	<laplace=1>	jesus
        3.0	<laplace=1>	field
        3.0	<laplace=1>	contents
<laplace=1>	       20.0	£500
       13.0	        9.0	messages
        3.0	<laplace=1>	doc
        4.0	<laplace=1>	Gently
        8.0	<laplace=1>	dog
        4.0	<laplace=1>	mite
<laplace=1>	        6.0	Voda
        3.0	<laplace=1>	Whenevr
        3.0	<laplace=1>	status
        7.0	<laplace=1>	Aiyo
       11.0	<laplace=1>	don
        4.0	<laplace=1>	upset
        3.0	<laplace=1>	CNN
        6.0	<laplace=1>	*sighs*
        4.0	<laplace=1>	bags
        3.0	<laplace=1>	messaged
        3.0	<laplace=1>	pours
<laplace=1>	        3.0	6months
        3.0	<laplace=1>	skip
<laplace=1>	        3.0	stamped
        3.0	<laplace=1>	mitsake
        3.0	<laplace=1>	mac
        4.0	<laplace=1>	aftr
        5.0	<laplace=1>	Aiya
        6.0	<laplace=1>	*9
        3.0	<laplace=1>	woulda
        4.0	<laplace=1>	Brilliant
        6.0	<laplace=1>	mad
        3.0	<laplace=1>	mag
<laplace=1>	        4.0	Energy
       12.0	<laplace=1>	mah
        3.0	<laplace=1>	laundry
       32.0	<laplace=1>	man
        3.0	<laplace=1>	3-u
        9.0	<laplace=1>	stand
        4.0	<laplace=1>	maga
        4.0	<laplace=1>	mas
<laplace=1>	        8.0	36504
        9.0	<laplace=1>	knows
        3.0	<laplace=1>	twenty
        3.0	        3.0	COM
       25.0	        6.0	may
        3.0	<laplace=1>	Petey
<laplace=1>	        4.0	DRAW
        8.0	<laplace=1>	forward
        8.0	<laplace=1>	ure
        6.0	<laplace=1>	joking
        3.0	<laplace=1>	bless
        9.0	<laplace=1>	todays
<laplace=1>	        4.0	msg@150p
<laplace=1>	        8.0	Sol
<laplace=1>	        4.0	300
        3.0	<laplace=1>	sweets
        5.0	<laplace=1>	manda
<laplace=1>	        3.0	discreet
       10.0	<laplace=1>	THAT
        4.0	<laplace=1>	fees
        3.0	<laplace=1>	snowman
       26.0	<laplace=1>	mail
        4.0	<laplace=1>	usc
        3.0	<laplace=1>	usb
       38.0	        7.0	use
<laplace=1>	        3.0	bonus
       11.0	<laplace=1>	usf
       51.0	<laplace=1>	feel
        3.0	<laplace=1>	main
        3.0	<laplace=1>	mca
        3.0	<laplace=1>	cochin
        8.0	<laplace=1>	liked
        5.0	<laplace=1>	Spl
<laplace=1>	        5.0	87239
        3.0	<laplace=1>	FRIENDSHIP
<laplace=1>	        5.0	logo
        3.0	<laplace=1>	Tick
<laplace=1>	        3.0	16+only
        5.0	        8.0	credit
        5.0	<laplace=1>	terrible
        4.0	<laplace=1>	likes
        3.0	<laplace=1>	combine
        7.0	<laplace=1>	waste
<laplace=1>	        3.0	-Message
        4.0	<laplace=1>	Boo
        3.0	<laplace=1>	ideal
        5.0	<laplace=1>	comedy
        3.0	<laplace=1>	caroline
        5.0	<laplace=1>	dry
        5.0	<laplace=1>	ideas
<laplace=1>	       24.0	Box
<laplace=1>	        8.0	CR9
        3.0	<laplace=1>	cheating
<laplace=1>	        3.0	5p/min
        5.0	<laplace=1>	Boy
       13.0	<laplace=1>	picking
        3.0	<laplace=1>	KUDIyarasu
<laplace=1>	        6.0	Price
        6.0	<laplace=1>	-D
<laplace=1>	        3.0	326
<laplace=1>	        5.0	84199
        3.0	<laplace=1>	ebay
       10.0	<laplace=1>	Wait
        5.0	<laplace=1>	closedincluding
        3.0	<laplace=1>	Kay
        5.0	<laplace=1>	waitin
        5.0	<laplace=1>	-P
<laplace=1>	        3.0	Wan2
<laplace=1>	        3.0	Nokia6650
<laplace=1>	        4.0	med
<laplace=1>	        3.0	re-schedule
       10.0	<laplace=1>	meh
        7.0	<laplace=1>	aathi
<laplace=1>	        3.0	31p
        3.0	<laplace=1>	mel
        6.0	        3.0	men
        4.0	<laplace=1>	smoking
<laplace=1>	        8.0	LDN
       77.0	       12.0	make
        8.0	<laplace=1>	met
        4.0	<laplace=1>	Finish
        4.0	<laplace=1>	questioned
<laplace=1>	        7.0	Ringtone
        3.0	<laplace=1>	thread
        6.0	<laplace=1>	exactly
        6.0	<laplace=1>	Wake
<laplace=1>	        3.0	80608
<laplace=1>	        3.0	PARIS
        3.0	        4.0	orange
        5.0	<laplace=1>	Reading
        5.0	<laplace=1>	due
        3.0	<laplace=1>	conform
        4.0	<laplace=1>	2MRW
<laplace=1>	        3.0	Handset
        6.0	<laplace=1>	waking
        4.0	<laplace=1>	LET
       45.0	<laplace=1>	dun
<laplace=1>	       11.0	00
        3.0	<laplace=1>	inform
        9.0	<laplace=1>	woke
<laplace=1>	        3.0	05
        4.0	<laplace=1>	Busy
<laplace=1>	        3.0	06
      140.0	        8.0	about
        3.0	<laplace=1>	sorrow
        5.0	<laplace=1>	Must
        3.0	<laplace=1>	crash
        4.0	<laplace=1>	GM+GN+GE+GN
       11.0	<laplace=1>	bank
        7.0	<laplace=1>	character
<laplace=1>	        3.0	receivea
        8.0	<laplace=1>	meaning
        6.0	<laplace=1>	urgnt
        7.0	       11.0	Want
        4.0	<laplace=1>	bros
        4.0	<laplace=1>	released
        4.0	<laplace=1>	*teasing
       13.0	        9.0	10
<laplace=1>	        3.0	tonights
<laplace=1>	        3.0	CUP
        6.0	        7.0	11
        6.0	        7.0	12
<laplace=1>	        6.0	Sub
        3.0	<laplace=1>	singing
        4.0	<laplace=1>	15
<laplace=1>	       27.0	16
        3.0	<laplace=1>	hamster
        3.0	<laplace=1>	module
        3.0	<laplace=1>	mall
       10.0	<laplace=1>	myself
<laplace=1>	       27.0	18
       16.0	<laplace=1>	wonderful
<laplace=1>	        3.0	received
        4.0	<laplace=1>	Smile
       13.0	<laplace=1>	mrng
        4.0	<laplace=1>	Sun
        4.0	       10.0	Xmas
        6.0	        3.0	quality
<laplace=1>	        6.0	POBox36504W45WQ
<laplace=1>	        3.0	unique
        4.0	<laplace=1>	boost
        3.0	<laplace=1>	THEN
        5.0	        5.0	20
        4.0	<laplace=1>	PARTY
        3.0	<laplace=1>	shared
<laplace=1>	        3.0	24
        3.0	        4.0	25
        3.0	<laplace=1>	worlds
        3.0	<laplace=1>	Btw
<laplace=1>	       30.0	T&Cs
<laplace=1>	        6.0	28
        3.0	<laplace=1>	don’t
        6.0	        3.0	mid
        3.0	<laplace=1>	March
        3.0	<laplace=1>	desparate
       18.0	        3.0	believe
        5.0	<laplace=1>	cute
       38.0	<laplace=1>	long
<laplace=1>	        3.0	373
       26.0	<laplace=1>	remember
        4.0	<laplace=1>	fell
       29.0	        7.0	into
        4.0	<laplace=1>	Horrible
<laplace=1>	       12.0	TXT
<laplace=1>	        3.0	2C
       12.0	       26.0	1st
       25.0	       14.0	min
       13.0	        3.0	30
        4.0	<laplace=1>	booty
      136.0	<laplace=1>	But
        3.0	<laplace=1>	1s
        8.0	<laplace=1>	bother
        4.0	<laplace=1>	middle
       26.0	<laplace=1>	though
        3.0	        4.0	Buy
        3.0	<laplace=1>	Aeronautics
       50.0	        4.0	many
       19.0	        4.0	stay
<laplace=1>	        6.0	3510i
        3.0	<laplace=1>	dedicate
       10.0	       17.0	texts
        7.0	<laplace=1>	definitely
<laplace=1>	        6.0	3G
<laplace=1>	       25.0	4*
       10.0	       43.0	Reply
        3.0	<laplace=1>	callin
<laplace=1>	        3.0	40
       15.0	<laplace=1>	open
        3.0	<laplace=1>	nagar
<laplace=1>	        3.0	6031
       16.0	<laplace=1>	treat
        5.0	       10.0	numbers
       15.0	<laplace=1>	project
        4.0	<laplace=1>	seven
<laplace=1>	        3.0	2WT
<laplace=1>	        3.0	T&CsBCM4235WC1N3XX
        4.0	<laplace=1>	3d
        8.0	       10.0	Last
<laplace=1>	        3.0	cashto
<laplace=1>	        3.0	Santa
        3.0	<laplace=1>	3g
        3.0	<laplace=1>	galileo
<laplace=1>	        3.0	Subscriber
        8.0	<laplace=1>	arent
<laplace=1>	        3.0	84128
        4.0	<laplace=1>	california
        3.0	       40.0	50
        8.0	<laplace=1>	First
<laplace=1>	        3.0	LUCKY
        4.0	<laplace=1>	4U
        4.0	        3.0	surprise
<laplace=1>	        4.0	Liverpool
        9.0	<laplace=1>	studying
        8.0	<laplace=1>	murderer
<laplace=1>	        3.0	seeds
        3.0	<laplace=1>	cooked
       14.0	<laplace=1>	felt
        8.0	        6.0	invited
        7.0	<laplace=1>	KNOW
       51.0	        4.0	wont
<laplace=1>	        3.0	6days
       26.0	        4.0	look
        3.0	<laplace=1>	4a
        3.0	<laplace=1>	4d
        3.0	<laplace=1>	monkeys
<laplace=1>	        3.0	Thurs
        5.0	<laplace=1>	murdered
        3.0	<laplace=1>	Arun
        4.0	<laplace=1>	calicut
<laplace=1>	        3.0	5K
<laplace=1>	        6.0	Games
       12.0	<laplace=1>	THIS
<laplace=1>	        6.0	11mths+
        3.0	<laplace=1>	woken
        7.0	<laplace=1>	internet
        5.0	<laplace=1>	kettoda
        8.0	<laplace=1>	Wats
        3.0	        4.0	4u
        5.0	<laplace=1>	needed
<laplace=1>	        3.0	08719180248
        3.0	<laplace=1>	admin
        8.0	<laplace=1>	Time
<laplace=1>	        3.0	EURO
        3.0	<laplace=1>	speed
        3.0	        9.0	auction
<laplace=1>	        3.0	Georges
        4.0	<laplace=1>	common
        3.0	<laplace=1>	interest
<laplace=1>	        4.0	downloads
        3.0	<laplace=1>	somtimes
        3.0	<laplace=1>	sleepy
        7.0	<laplace=1>	Aiyah
        9.0	<laplace=1>	bath
        3.0	<laplace=1>	LIFE
        3.0	<laplace=1>	bruv
<laplace=1>	        3.0	77
        3.0	       29.0	apply
        3.0	<laplace=1>	Brandy
        6.0	        3.0	recently
        5.0	<laplace=1>	Aiyar
        3.0	<laplace=1>	prepaid
<laplace=1>	        5.0	Tyrone
        7.0	<laplace=1>	bedroom
        4.0	<laplace=1>	*Im
        3.0	<laplace=1>	mp3
       53.0	        3.0	money
<laplace=1>	        3.0	Optout
        7.0	<laplace=1>	Every
        4.0	<laplace=1>	step
<laplace=1>	        3.0	Rally
        9.0	<laplace=1>	forever
<laplace=1>	        3.0	85
        3.0	<laplace=1>	mark
        3.0	<laplace=1>	base
<laplace=1>	       19.0	mob
        3.0	<laplace=1>	Beware
       10.0	<laplace=1>	Awesome
       15.0	<laplace=1>	whole
       11.0	<laplace=1>	mom
        7.0	<laplace=1>	fingers
        8.0	<laplace=1>	mon
        4.0	<laplace=1>	relation
        9.0	<laplace=1>	movies
       14.0	<laplace=1>	Okay
        5.0	<laplace=1>	loss
        3.0	<laplace=1>	darlings
       12.0	<laplace=1>	lost
        5.0	<laplace=1>	COME
<laplace=1>	        7.0	toClaim
<laplace=1>	        3.0	99
      133.0	        8.0	still
<laplace=1>	        3.0	LOG
       87.0	        4.0	work
       12.0	<laplace=1>	lose
        6.0	<laplace=1>	LOL
<laplace=1>	        3.0	packs
        3.0	<laplace=1>	bishan
        3.0	<laplace=1>	aunty
        3.0	<laplace=1>	books
        4.0	<laplace=1>	knowing
        3.0	<laplace=1>	aunts
       12.0	<laplace=1>	mate
<laplace=1>	        3.0	among
        4.0	<laplace=1>	irritating
        3.0	<laplace=1>	math
       14.0	       26.0	word
      127.0	        7.0	love
        4.0	<laplace=1>	Mmmm
<laplace=1>	        4.0	TsCs
       16.0	        4.0	enjoy
        6.0	        9.0	secret
        9.0	<laplace=1>	slave
<laplace=1>	        4.0	M26
       11.0	<laplace=1>	across
        3.0	<laplace=1>	vday
        3.0	<laplace=1>	COOL
        3.0	<laplace=1>	ear
        3.0	<laplace=1>	lotta
<laplace=1>	       11.0	Chat
       32.0	<laplace=1>	eat
<laplace=1>	        3.0	verify
        4.0	<laplace=1>	9t
        4.0	<laplace=1>	loud
<laplace=1>	        9.0	reward
<laplace=1>	        4.0	HELP
<laplace=1>	        3.0	include
        9.0	<laplace=1>	Pete
        3.0	<laplace=1>	pouch
        7.0	<laplace=1>	facebook
<laplace=1>	        3.0	18p/txt
        3.0	<laplace=1>	Doctor
        3.0	<laplace=1>	VALUED
<laplace=1>	        3.0	25/F
       10.0	<laplace=1>	mrt
<laplace=1>	       19.0	Prize
        8.0	<laplace=1>	opinion
<laplace=1>	        6.0	Chance
       14.0	<laplace=1>	lots
<laplace=1>	        3.0	Trav
        3.0	<laplace=1>	cutting
        4.0	<laplace=1>	juicy
        4.0	<laplace=1>	ages
        9.0	        3.0	DAY
       47.0	       19.0	msg
       10.0	<laplace=1>	voice
        3.0	<laplace=1>	prepared
<laplace=1>	        3.0	08719181513
        3.0	<laplace=1>	msn
<laplace=1>	        3.0	LS1
<laplace=1>	        3.0	sms-08718727870
        4.0	<laplace=1>	Okey
<laplace=1>	        3.0	81010
<laplace=1>	        3.0	3AJ
        6.0	<laplace=1>	WORLD
        3.0	<laplace=1>	SHESIL
        5.0	<laplace=1>	expecting
        4.0	<laplace=1>	spell
<laplace=1>	        3.0	polyH
        6.0	<laplace=1>	=D
<laplace=1>	        3.0	09050003091
<laplace=1>	        3.0	40533
        3.0	<laplace=1>	failed
       12.0	<laplace=1>	mayb
       68.0	        5.0	Can
<laplace=1>	        4.0	DATE
        3.0	<laplace=1>	shipped
        3.0	<laplace=1>	LIKE
        3.0	<laplace=1>	edu
       10.0	<laplace=1>	seems
        3.0	<laplace=1>	Payee
<laplace=1>	        7.0	POBOX
        8.0	<laplace=1>	tickets
       10.0	<laplace=1>	mum
        4.0	<laplace=1>	Argument
<laplace=1>	        4.0	celeb
<laplace=1>	        3.0	YES-440
        5.0	<laplace=1>	Glad
<laplace=1>	        3.0	polypH
<laplace=1>	        3.0	getstop
<laplace=1>	        3.0	08712400602450p
<laplace=1>	        4.0	Points
        7.0	<laplace=1>	muz
<laplace=1>	        4.0	billed
        7.0	<laplace=1>	walking
       11.0	<laplace=1>	spend
        3.0	<laplace=1>	talks
<laplace=1>	        3.0	09061221061
<laplace=1>	        3.0	Lions
        5.0	<laplace=1>	Since
        3.0	<laplace=1>	grave
        9.0	<laplace=1>	spent
        3.0	<laplace=1>	Sinco
        3.0	        7.0	Service
<laplace=1>	        3.0	LILY
<laplace=1>	        5.0	09061221066
        6.0	<laplace=1>	Change
        7.0	<laplace=1>	LUV
        7.0	<laplace=1>	instead
<laplace=1>	        3.0	BEFORE
        3.0	<laplace=1>	Tee
<laplace=1>	        3.0	FREE>Ringtone
        5.0	<laplace=1>	temple
        7.0	<laplace=1>	WILL
        4.0	<laplace=1>	Tel
        5.0	<laplace=1>	Ten
<laplace=1>	        3.0	BCM1896WC1N3XX
        5.0	<laplace=1>	hands
        5.0	<laplace=1>	egg
        3.0	<laplace=1>	desperate
       32.0	        7.0	year
        5.0	<laplace=1>	saved
        3.0	<laplace=1>	allowed
        7.0	<laplace=1>	Nimya
<laplace=1>	        5.0	Unsub
        9.0	<laplace=1>	staying
        3.0	<laplace=1>	Alaipayuthe
       27.0	<laplace=1>	yeah
       12.0	<laplace=1>	laptop
        8.0	        4.0	via
        3.0	<laplace=1>	Everything
        4.0	        7.0	music
        3.0	<laplace=1>	THINK
<laplace=1>	       16.0	unsubscribe
<laplace=1>	        5.0	08712405020
<laplace=1>	        6.0	awaiting
<laplace=1>	        3.0	08712405022
        5.0	<laplace=1>	understanding
<laplace=1>	        3.0	Street
<laplace=1>	        3.0	08000407165
        8.0	        6.0	YOUR
       29.0	        3.0	because
        6.0	<laplace=1>	near
        3.0	<laplace=1>	silence
<laplace=1>	        3.0	July
        3.0	<laplace=1>	moving
        3.0	<laplace=1>	dealing
<laplace=1>	        7.0	inviting
<laplace=1>	        4.0	upgrade
<laplace=1>	        3.0	AG
        3.0	<laplace=1>	forevr
<laplace=1>	        3.0	M95
        8.0	<laplace=1>	MUCH
        4.0	<laplace=1>	google
        7.0	<laplace=1>	AM
<laplace=1>	        3.0	community
        3.0	<laplace=1>	AN
        5.0	<laplace=1>	version
        9.0	<laplace=1>	planning
        3.0	<laplace=1>	THAT’S
        4.0	<laplace=1>	AS
<laplace=1>	        3.0	B4
       21.0	<laplace=1>	AT
       31.0	       41.0	stop
       11.0	<laplace=1>	orchard
<laplace=1>	        6.0	selection
       26.0	<laplace=1>	guess
<laplace=1>	        4.0	flirt
        3.0	<laplace=1>	science
<laplace=1>	        3.0	Invaders
        8.0	<laplace=1>	happening
        6.0	<laplace=1>	returns
       39.0	<laplace=1>	Where
       17.0	<laplace=1>	Okie
<laplace=1>	        7.0	Cost£1
        4.0	<laplace=1>	boston
        4.0	<laplace=1>	Meet
        4.0	        3.0	BE
        5.0	<laplace=1>	Ah
       15.0	<laplace=1>	least
        5.0	<laplace=1>	wouldnt
        3.0	<laplace=1>	heartheart
        3.0	        6.0	immediately
        3.0	<laplace=1>	Al
       23.0	        3.0	Am
        4.0	<laplace=1>	An
        3.0	<laplace=1>	Beer
       69.0	       25.0	The
       53.0	<laplace=1>	sleep
       13.0	<laplace=1>	hungry
        4.0	<laplace=1>	swimming
<laplace=1>	        4.0	MESSAGE
       28.0	       13.0	As
<laplace=1>	        5.0	BT
       18.0	<laplace=1>	At
        5.0	<laplace=1>	Been
       10.0	<laplace=1>	Thk
        8.0	<laplace=1>	naughty
<laplace=1>	        3.0	RSTM
        6.0	<laplace=1>	DID
<laplace=1>	        3.0	secretly
        5.0	<laplace=1>	yogasana
<laplace=1>	        7.0	CC
<laplace=1>	        9.0	CD
<laplace=1>	        3.0	Calls£1/minMobsmoreLKPOBOX177HP51FL
<laplace=1>	        3.0	lucozade
        6.0	<laplace=1>	website
       14.0	<laplace=1>	Be
        3.0	<laplace=1>	Thy
        6.0	        3.0	learn
        4.0	        4.0	unlimited
        4.0	<laplace=1>	SITUATION
        3.0	<laplace=1>	neck
        3.0	<laplace=1>	Putting
<laplace=1>	        3.0	DIS
        5.0	<laplace=1>	weird
        9.0	<laplace=1>	Bt
        3.0	<laplace=1>	ericsson
        4.0	<laplace=1>	2MORO
       12.0	<laplace=1>	By
        5.0	<laplace=1>	Meanwhile
<laplace=1>	        3.0	D=
        3.0	<laplace=1>	POSTCARD
       27.0	<laplace=1>	sweet
        5.0	<laplace=1>	DA
        3.0	<laplace=1>	anniversary
        3.0	<laplace=1>	Deeraj
        3.0	<laplace=1>	Tis
       20.0	<laplace=1>	Take
<laplace=1>	        3.0	Age16
<laplace=1>	        3.0	instructions
<laplace=1>	        3.0	O2FWD
        4.0	<laplace=1>	Ummmmmaah
<laplace=1>	        3.0	FREE2DAY
<laplace=1>	       11.0	voucher
<laplace=1>	        6.0	official
       11.0	<laplace=1>	DO
        3.0	        6.0	Co
<laplace=1>	       13.0	Cs
<laplace=1>	        3.0	18+6*£1
       22.0	<laplace=1>	whats
       49.0	        3.0	leave
<laplace=1>	        3.0	E=
        4.0	<laplace=1>	2go
        3.0	<laplace=1>	female
<laplace=1>	        9.0	UKs
        4.0	<laplace=1>	Da
        3.0	<laplace=1>	doesn
        4.0	<laplace=1>	Whens
      140.0	        7.0	need
        4.0	<laplace=1>	Doing
        4.0	<laplace=1>	often
       95.0	       14.0	Do
        3.0	<laplace=1>	kindly
        4.0	<laplace=1>	tests
        3.0	<laplace=1>	beneficiary
<laplace=1>	        3.0	F=
        3.0	<laplace=1>	loose
<laplace=1>	       19.0	http
<laplace=1>	        4.0	087187262701
<laplace=1>	        3.0	FA
        3.0	<laplace=1>	hardly
       19.0	<laplace=1>	bored
        3.0	<laplace=1>	useful
        5.0	<laplace=1>	YOUCLEAN
<laplace=1>	        3.0	private
        7.0	<laplace=1>	Eh
        4.0	<laplace=1>	MANEESHA
        5.0	<laplace=1>	technical
        3.0	<laplace=1>	Sitting
<laplace=1>	        5.0	150p/min
<laplace=1>	        3.0	Hols
        5.0	<laplace=1>	ride
        5.0	<laplace=1>	Er
       18.0	<laplace=1>	sleeping
<laplace=1>	        9.0	LIVE
        3.0	<laplace=1>	UNI
        7.0	<laplace=1>	askin
       26.0	        9.0	end
<laplace=1>	       17.0	dating
        5.0	<laplace=1>	Cheers
<laplace=1>	        3.0	lines
        4.0	<laplace=1>	ABOUT
        7.0	<laplace=1>	mistake
<laplace=1>	       17.0	Urgent
        4.0	<laplace=1>	slippers
        8.0	       12.0	GO
<laplace=1>	        3.0	TnC
        4.0	<laplace=1>	rich
        5.0	<laplace=1>	Talk
        3.0	<laplace=1>	rice
<laplace=1>	        8.0	cash-in
        5.0	<laplace=1>	happend
       13.0	<laplace=1>	WITH
       31.0	        7.0	special
        3.0	<laplace=1>	forum
<laplace=1>	        3.0	09066364311
        3.0	<laplace=1>	environment
        3.0	<laplace=1>	UP4
        3.0	<laplace=1>	kicks
        5.0	<laplace=1>	Tmr
        6.0	<laplace=1>	Indian
<laplace=1>	        5.0	START
<laplace=1>	        3.0	freefone
       23.0	<laplace=1>	family
        3.0	<laplace=1>	jokes
        8.0	<laplace=1>	happens
        5.0	<laplace=1>	Gd
        3.0	<laplace=1>	Ge
        7.0	       14.0	gift
       12.0	<laplace=1>	HI
        3.0	<laplace=1>	slightly
        3.0	<laplace=1>	career
        4.0	<laplace=1>	wanting
<laplace=1>	        5.0	60p/min
       32.0	<laplace=1>	called
<laplace=1>	        7.0	HL
       54.0	<laplace=1>	told
        6.0	<laplace=1>	shouldnt
<laplace=1>	        3.0	08718727868
<laplace=1>	        3.0	300%
        3.0	<laplace=1>	Gn
       11.0	        5.0	Go
        3.0	<laplace=1>	tomeandsaidTHIS
        6.0	<laplace=1>	turns
        3.0	<laplace=1>	responding
        6.0	       18.0	tried
        3.0	<laplace=1>	nag
       10.0	<laplace=1>	Ha
        3.0	<laplace=1>	ID
        4.0	<laplace=1>	nap
       48.0	<laplace=1>	He
       11.0	<laplace=1>	IF
<laplace=1>	        3.0	Natalja
        3.0	<laplace=1>	Yourself
<laplace=1>	        4.0	nat
       76.0	       15.0	Hi
        9.0	        4.0	msgs
        3.0	<laplace=1>	IL
        3.0	<laplace=1>	partnership
       21.0	<laplace=1>	IM
       19.0	        3.0	IN
        3.0	<laplace=1>	Hm
        3.0	<laplace=1>	Ho
        5.0	<laplace=1>	IQ
<laplace=1>	        3.0	DOT
       17.0	        8.0	IS
<laplace=1>	        3.0	Wicklow
       10.0	        3.0	IT
        3.0	<laplace=1>	It€˜s
       23.0	        5.0	wanna
       90.0	       32.0	Just
        5.0	<laplace=1>	Some
<laplace=1>	        4.0	Top
        6.0	<laplace=1>	Too
        7.0	<laplace=1>	vikky
        3.0	<laplace=1>	eveB-
        3.0	<laplace=1>	JD
<laplace=1>	        3.0	08718727870
        8.0	        3.0	Id
        5.0	<laplace=1>	MAN
        5.0	<laplace=1>	vry
      100.0	       15.0	If
        6.0	<laplace=1>	Person
<laplace=1>	        6.0	1000s
<laplace=1>	        4.0	100percent-real
      277.0	       13.0	Im
<laplace=1>	       27.0	tone
       33.0	        3.0	In
        9.0	<laplace=1>	against
        3.0	<laplace=1>	URE
       50.0	<laplace=1>	Is
        8.0	<laplace=1>	urself
<laplace=1>	        3.0	300p
       59.0	        3.0	It
        8.0	<laplace=1>	cell
        3.0	<laplace=1>	login
       14.0	       12.0	holiday
        4.0	<laplace=1>	URL
        5.0	<laplace=1>	remind
        3.0	<laplace=1>	URN
<laplace=1>	        4.0	valid
        3.0	<laplace=1>	mornin
       22.0	        6.0	asked
        3.0	<laplace=1>	rights
        8.0	<laplace=1>	share
        4.0	<laplace=1>	Nigeria
<laplace=1>	        8.0	Sony
        4.0	<laplace=1>	machan
        6.0	<laplace=1>	pissed
<laplace=1>	        3.0	Delivered
       21.0	<laplace=1>	Cos
        3.0	<laplace=1>	Living
<laplace=1>	        4.0	Vouchers
        3.0	<laplace=1>	KR
       11.0	       21.0	2nd
        3.0	<laplace=1>	dhina
       20.0	<laplace=1>	tomo
<laplace=1>	        9.0	3030
       11.0	<laplace=1>	Coz
<laplace=1>	       17.0	PRIVATE
        3.0	<laplace=1>	slip
        3.0	<laplace=1>	ese
        4.0	<laplace=1>	urgently
<laplace=1>	        3.0	10000
<laplace=1>	        3.0	LE
<laplace=1>	        4.0	AUCTION
       46.0	        3.0	Hope
        3.0	<laplace=1>	flies
<laplace=1>	        3.0	TONES2U
        6.0	<laplace=1>	True
        4.0	<laplace=1>	screen
<laplace=1>	        3.0	M6
        3.0	<laplace=1>	ned
        3.0	<laplace=1>	naked
<laplace=1>	        3.0	DRACULA
        4.0	<laplace=1>	pages
        6.0	        8.0	etc
<laplace=1>	        4.0	434
        3.0	<laplace=1>	toot
       28.0	<laplace=1>	ME
        3.0	        4.0	Try
        8.0	       15.0	net
<laplace=1>	        7.0	86021
       47.0	       42.0	new
       19.0	<laplace=1>	took
        3.0	<laplace=1>	catching
<laplace=1>	        4.0	settings
        4.0	<laplace=1>	MO
<laplace=1>	        3.0	Player
        3.0	<laplace=1>	MR
       20.0	<laplace=1>	shall
       22.0	<laplace=1>	MY
        3.0	<laplace=1>	tooo
        5.0	<laplace=1>	taunton
<laplace=1>	        3.0	Secret
       21.0	<laplace=1>	driving
       23.0	<laplace=1>	Me
<laplace=1>	        3.0	activate
        3.0	<laplace=1>	weirdest
        5.0	<laplace=1>	drivin
        4.0	<laplace=1>	supervisor
       11.0	<laplace=1>	Mm
        4.0	<laplace=1>	shame
       11.0	        3.0	NO
        3.0	<laplace=1>	Delhi
<laplace=1>	        6.0	O2
        4.0	        3.0	Mr
        6.0	<laplace=1>	raining
        9.0	<laplace=1>	reaching
       17.0	<laplace=1>	dreams
       80.0	<laplace=1>	My
       55.0	        3.0	around
<laplace=1>	        7.0	XMAS
<laplace=1>	        3.0	BT-national
        5.0	<laplace=1>	running
<laplace=1>	        3.0	3SS
       12.0	<laplace=1>	eve
<laplace=1>	       10.0	credits
<laplace=1>	       10.0	Phone
       12.0	<laplace=1>	OF
<laplace=1>	        4.0	Ldn
        7.0	<laplace=1>	OH
       12.0	        3.0	OK
       16.0	<laplace=1>	ni8
        3.0	<laplace=1>	evn
       13.0	        6.0	ON
      142.0	       42.0	No
        3.0	<laplace=1>	Proverb
        5.0	<laplace=1>	OR
        4.0	<laplace=1>	Nt
<laplace=1>	       10.0	rates
        3.0	<laplace=1>	transport
        3.0	<laplace=1>	specific
<laplace=1>	        5.0	4info
        6.0	<laplace=1>	PA
<laplace=1>	        3.0	caller
        5.0	<laplace=1>	exams
<laplace=1>	        8.0	DVD
<laplace=1>	        6.0	PC
        4.0	<laplace=1>	freezing
        9.0	<laplace=1>	Of
<laplace=1>	        3.0	PoBox45W2TG150P
<laplace=1>	        4.0	Find
       78.0	<laplace=1>	Oh
       14.0	<laplace=1>	Let
